qnorm.02,Pol_TSS_02,Pol_gb_02,Pol_TE1K_02,Pol_TE2K_02,Pol_TE3K_02,Pol_TE4K_02,Pol_TE5K_02,ZT2
45.0571275621724,6.4,0.84,1.445,2.05,1.371,0.691,0.509,8.3781845
19.7727175838889,19,11.84,24.476,20.465,12.881,3.324,6.375,9.600833
31.0728227667956,1.9,2.14,5.529,7.722,3.6025,2.676,2.994,9.599114
29.9513905316527,2.7,5.15,58.05,12.056047,1.502,2.462,2.6305,10.14802625
61.0985684250257,2,4.01,11.369,5.706,4.87,4.652,6.519,6.356568
38.6949662867686,9.9,6.96,14.123,8.836,4.998,1.78175,1.5,10.26523
45.0031947925577,3,1.65,0.825,1.302597,1.2,0.75,0.975,6.320732
27.5143299692475,9.9,2.7,4.652,5.075,6.011,4.095,3.243,8.3664925
218.56869180893,1.3,0.61,0.825,1.05,0.525,0.919,0.881,12.15826
35.8281598615196,6.5,1.19,0.853,0.778,1.739,2.699,2.828,8.624343
67.2432376908239,0.8,1.24,1.189,1.74,0.987801,0.75,0.731,7.426603
30.5371162392832,2.2,1.32,3.791,1.809,1.486,1.8105,1.348,6.2129875
19.2705270901203,5.4,1.75,2.7,3.778,2.066,0.139,0.016,12.130255
58.7185301936575,26.3,4.29,12.53,18.46398,19.539,26.718,18.08,9.209104
52.0836552175837,2.1,3.86,2.653,2.048,1.99275,2.453,4.506,8.7010105
29.9067246138857,22.3,8.61,6.052,16.829,18.017,7.088,2.657,13.20015
93.0617983820185,0.9,0.94,0.873443983402,0.906,0.578,1.446,0.822,5.6981665
42.2707293528313,7.5,6.85,8.655,7.264,10.333,8.536,12.662,8.487024
30.7383807738132,11.3,3.69,5.209,4.684,5.183146,7.593496,8.856,12.235535
34.6167331918848,4.5,6.36,3.398,8.067,10.8905,14.551,4.128,10.39949
72.9631209503382,1.2,0.43,0.367,0.685,0.723,0.535,0.15,10.156084
42.0113558193796,1.6,3.39,4.016,6.27,5.028,2.888,2.041,8.8198455
68.5638311876603,0.4,0.7,0.2055,0.5155,0.461,0.4335,0.7365,4.997055
52.0355127247846,13.5,3.09,4.568,3.98,3.949,0.478,0.15,9.1843265
59.3495373923909,7.3,1.07,1.751,1.747,1.356,1.554,2.132,6.0017935
48.3993190016242,2.1,1.58,2.326,3.264,2.172,1.934,2.378,9.5912835
33.2480478979638,15.5,2.61,3.945,1.125,0.7145,0.651,0.675,8.4764815
